file,execution_time_seconds
axios_axios__publish.yml,0.2212
vercel_next.js__trigger_release.yml,0.2273
oracle_opengrok__release.yml,0.3151
IBM_sarama__apidiff.yml,0.3046
huggingface_transformers__build-nightly-ci-docker-images.yml,0.3727
facebook_react-native__on-issue-labeled.yml,0.3441
vercel_next.js__graphite_ci_optimizer.yml,0.3409
nodejs_node__create-release-proposal.yml,0.2326
krahets_hello-algo__java.yml,0.2291
nodejs_node__test-macos.yml,0.233
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.1962
NVIDIA_k8s-device-plugin__e2e.yaml,0.2128
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.23
Chalarangelo_30-seconds-of-code__stale.yml,0.2065
krahets_hello-algo__go.yml,0.2017
facebook_react__runtime_build_and_test.yml,0.2961
electron_electron__issue-transferred.yml,0.258
microsoft_TypeScript__pr-modified-files.yml,0.3301
krahets_hello-algo__dart.yml,0.4238
langgenius_dify__db-migration-test.yml,0.2661
huggingface_transformers__check_failed_tests.yml,0.2297
langchain-ai_langchain__run_notebooks.yml,0.2018
IBM_sarama__fvt-main.yml,0.2155
vercel_next.js__test_examples.yml,0.2133
rust-lang_rust__post-merge.yml,0.2097
nodejs_node__linters.yml,0.3019
NVIDIA_cutlass__blossom-ci.yml,0.1898
facebook_watchman__getdeps_linux.yml,0.2109
microsoft_TypeScript__twoslash-repros.yaml,0.2055
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.1966
oracle_opengrok__javadoc.yml,0.1988
facebook_folly__getdeps_windows.yml,0.1991
langgenius_dify__style.yml,0.1669
facebook_facebook-android-sdk__needs-attention.yml,0.2376
huggingface_transformers__doctest_job.yml,0.221
microsoft_TypeScript__copilot-setup-steps.yml,0.221
yangshun_tech-interview-handbook__lint.yml,0.2214
huggingface_transformers__benchmark.yml,0.3213
Significant-Gravitas_AutoGPT__repo-stats.yml,0.2736
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.2813
microsoft_terminal__addToProject.yml,0.3546
google_blockly__browser_test.yml,0.3043
facebook_react__compiler_discord_notify.yml,0.2872
electron_electron__pipeline-electron-build-and-test.yml,0.2432
twbs_bootstrap__cspell.yml,0.3109
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.2428
