Capability,Rule,Detections
artifact-Integrity-check,artipacked,731
artifact-Integrity-check,cache-poisoning,7
injection-check,template-injection,292
injection-check,github-env,12
permissions-check,excessive-permissions,689
pinning-check,unpinned-uses,474
pinning-check,unpinned-images,35
secrets-check,secrets-inherit,144
secrets-check,overprovisioned-secrets,5
trigger-permissions-check,dangerous-triggers,50
