Capability,Rule,Detections
artifact-Integrity-check,untrusted_checkout_exec,38
control-flow-check,if_always_true,1
injection-check,injection,24
injection-check,unverified_script_exec,16
known_vulnerability-check,known_vulnerability_in_build_component,90
permissions-check,default_permissions_on_risky_events,19
secrets-check,job_all_secrets,2
trigger-permissions-check,pr_runs_on_self_hosted,46
