Capability,Rule,Detections
control-flow-check,expression,23
control-flow-check,if-cond,1
injection-check,deprecated-commands,5
pinning-check,action,158
workflow_structural_check,runner-label,101
workflow_structural_check,workflow-call,67
workflow_structural_check,expression,35
workflow_structural_check,events,19
workflow_structural_check,syntax-check,6
workflow_structural_check,matrix,1
