,artifact-Integrity-check,automatic-hardening-check,control-flow-check,injection-check,known_vulnerability-check,permissions-check,pinning-check,secrets-check,trigger-permissions-check,workflow_structural_check
actionlint,0.0,0.0,1.6,1.25,0.0,0.0,2.164383561643836,0.0,0.0,2.4623655913978495
frizbee,0.0,0.0,0.0,0.0,0.0,0.0,5.846753246753247,0.0,0.0,0.0
ggshield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pinny,0.0,0.0,0.0,0.0,0.0,0.0,5.288602941176471,0.0,0.0,0.0
poutine,3.9,0.0,1.0,1.2903225806451613,3.2142857142857144,1.0,0.0,1.0,3.8333333333333335,0.0
scharf,0.0,0.0,0.0,0.0,0.0,0.0,5.7388059701492535,0.0,0.0,0.0
scorecard,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
semgrep,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0
zizmor,1.981283422459893,0.0,0.0,4.402985074626866,0.0,2.5238095238095237,2.6102564102564103,3.3863636363636362,1.0,0.0
