,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
actionlint,1.0,0.14688128772635814,0.0,0.1095890410958904,0.003484320557491289,0.14202334630350194,0.04899328859060403,0.0041841004184100415,0.030377668308702793
frizbee,0.14688128772635814,1.0,0.0,0.692167577413479,0.0,0.9528535980148883,0.2793904208998549,0.0,0.14207221350078492
ggshield,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pinny,0.1095890410958904,0.692167577413479,0.0,1.0,0.0,0.72,0.27877578176979373,0.0,0.1350210970464135
poutine,0.003484320557491289,0.0,0.0,0.0,1.0,0.0,0.008855585831062671,0.1366906474820144,0.041740674955595025
scharf,0.14202334630350194,0.9528535980148883,0.0,0.72,0.0,1.0,0.2898550724637681,0.0,0.15179968701095461
scorecard,0.04899328859060403,0.2793904208998549,0.0,0.27877578176979373,0.008855585831062671,0.2898550724637681,1.0,0.0,0.2332493702770781
semgrep,0.0041841004184100415,0.0,0.0,0.0,0.1366906474820144,0.0,0.0,1.0,0.0514018691588785
zizmor,0.030377668308702793,0.14207221350078492,0.0,0.1350210970464135,0.041740674955595025,0.15179968701095461,0.2332493702770781,0.0514018691588785,1.0
