file,execution_time_seconds
axios_axios__publish.yml,0.1218
vercel_next.js__trigger_release.yml,0.1322
oracle_opengrok__release.yml,0.1269
IBM_sarama__apidiff.yml,0.1309
huggingface_transformers__build-nightly-ci-docker-images.yml,0.1251
facebook_react-native__on-issue-labeled.yml,0.1285
vercel_next.js__graphite_ci_optimizer.yml,0.1345
nodejs_node__create-release-proposal.yml,0.1716
krahets_hello-algo__java.yml,0.1265
nodejs_node__test-macos.yml,0.1272
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.1326
NVIDIA_k8s-device-plugin__e2e.yaml,0.1312
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.126
Chalarangelo_30-seconds-of-code__stale.yml,0.1279
krahets_hello-algo__go.yml,0.1248
facebook_react__runtime_build_and_test.yml,0.1386
electron_electron__issue-transferred.yml,0.1251
microsoft_TypeScript__pr-modified-files.yml,0.129
krahets_hello-algo__dart.yml,0.1255
langgenius_dify__db-migration-test.yml,0.1259
huggingface_transformers__check_failed_tests.yml,0.1313
langchain-ai_langchain__run_notebooks.yml,0.1229
IBM_sarama__fvt-main.yml,0.1209
vercel_next.js__test_examples.yml,0.1413
rust-lang_rust__post-merge.yml,0.1313
nodejs_node__linters.yml,0.1297
NVIDIA_cutlass__blossom-ci.yml,0.1307
facebook_watchman__getdeps_linux.yml,0.1358
microsoft_TypeScript__twoslash-repros.yaml,0.1233
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.1284
oracle_opengrok__javadoc.yml,0.1323
facebook_folly__getdeps_windows.yml,0.1347
langgenius_dify__style.yml,0.1533
facebook_facebook-android-sdk__needs-attention.yml,0.1457
huggingface_transformers__doctest_job.yml,0.1349
microsoft_TypeScript__copilot-setup-steps.yml,0.1295
yangshun_tech-interview-handbook__lint.yml,0.1258
huggingface_transformers__benchmark.yml,0.1277
Significant-Gravitas_AutoGPT__repo-stats.yml,0.1266
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.1309
microsoft_terminal__addToProject.yml,0.1371
google_blockly__browser_test.yml,0.1327
facebook_react__compiler_discord_notify.yml,0.1346
electron_electron__pipeline-electron-build-and-test.yml,0.1299
twbs_bootstrap__cspell.yml,0.1251
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.1302
microsoft_TypeScript__ci.yml,0.1269
krahets_hello-algo__rust.yml,0.1288
huggingface_transformers__doctests.yml,0.1281
denoland_deno__post_publish.yml,0.1199
electron_electron__pull-request-labeled.yml,0.1309
langchain-ai_langchain___compile_integration_test.yml,0.127
alibaba_druid__ci.yaml,0.1251
vercel_next.js__integration_tests_reusable.yml,0.1269
yt-dlp_yt-dlp__core.yml,0.1287
electron_electron__stable-prep-items.yml,0.1248
langchain-ai_langchain___test_pydantic.yml,0.124
avelino_awesome-go__run-check.yaml,0.1296
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.1511
electron_electron__macos-publish.yml,0.1229
trekhleb_javascript-algorithms__CI.yml,0.1244
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.1236
n8n-io_n8n__test-workflows-nightly.yml,0.1203
alibaba_tengine__test-nginx-core.yml,0.1316
facebook_rocksdb__nightly.yml,0.1342
jwasham_coding-interview-university__links_checker.yml,0.135
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.1285
n8n-io_n8n__notify-pr-status.yml,0.1316
TheAlgorithms_Python__ruff.yml,0.2177
facebook_react__shared_check_maintainer.yml,0.1345
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.131
electron_electron__pipeline-segment-node-nan-test.yml,0.1276
twbs_bootstrap__codeql.yml,0.1285
nodejs_node__license-builder.yml,0.1338
nodejs_node__label-flaky-test-issue.yml,0.1312
vercel_next.js__test-turbopack-rust-bench-test.yml,0.129
microsoft_TypeScript__error-deltas-watchdog.yaml,0.1338
facebook_facebook-ios-sdk__stale.yml,0.1372
ossu_computer-science__delete-empty-issues.yml,0.129
yt-dlp_yt-dlp__sanitize-comment.yml,0.1208
open-webui_open-webui__docker-build.yaml,0.1472
huggingface_transformers__self-nightly-caller.yml,0.127
langchain-ai_langchain__people.yml,0.21
awslabs_amazon-ecr-credential-helper__build.yaml,0.1491
langchain-ai_langchain___test_release.yml,0.1342
google_truth__ci.yml,0.1274
n8n-io_n8n__benchmark-destroy-nightly.yml,0.1292
langchain-ai_langchain___test.yml,0.1195
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.1329
n8n-io_n8n__e2e-tests.yml,0.129
excalidraw_excalidraw__locales-coverage.yml,0.1271
nodejs_node__close-stalled.yml,0.1255
facebook_react__runtime_prereleases.yml,0.1306
vuejs_vue__ci.yml,0.14
krahets_hello-algo__swift.yml,0.1545
airbnb_javascript__require-allow-edits.yml,0.1359
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.1307
google_blockly__welcome_new_contributors.yml,0.1313
nodejs_node__doc.yml,0.1206
microsoft_TypeScript__sync-branch.yaml,0.136
excalidraw_excalidraw__publish-docker.yml,0.1419
flutter_flutter__labeler.yml,0.1368
Genymobile_scrcpy__release.yml,0.1312
f_awesome-chatgpt-prompts__ai_bot.yml,0.1343
microsoft_vscode__monaco-editor.yml,0.1281
freeCodeCamp_freeCodeCamp__github-spam.yml,0.1312
oracle_graal__micronaut.yml,0.128
facebook_react-native__needs-attention.yml,0.1275
google_grr__publish-pypi.yml,0.1374
Chalarangelo_30-seconds-of-code__test.yml,0.1492
tensorflow_tensorflow__arm-ci-extended.yml,0.1332
rust-lang_rust__dependencies.yml,0.1354
Chalarangelo_30-seconds-of-code__label.yml,0.1293
facebook_react__runtime_discord_notify.yml,0.1265
twbs_bootstrap__calibreapp-image-actions.yml,0.1249
google_grr__build.yml,0.138
huggingface_transformers__release-conda.yml,0.1259
denoland_deno__wpt_epoch.yml,0.1213
airbnb_javascript__node.yml,0.1269
langchain-ai_langchain___lint.yml,0.1259
vercel_next.js__turbopack-nextjs-build-integration-tests.yml,0.1301
oracle_truffleruby__ci.yml,0.1298
facebook_react-native__prebuild-ios-dependencies.yml,0.135
n8n-io_n8n__chromatic.yml,0.1293
NVIDIA_cutlass__stale.yml,0.1323
yt-dlp_yt-dlp__issue-lockdown.yml,0.1249
n8n-io_n8n__test-workflows-callable.yml,0.1348
nodejs_node__update-openssl.yml,0.1272
AUTOMATIC1111_stable-diffusion-webui__on_pull_request.yaml,0.1257
microsoft_TypeScript__accept-baselines-fix-lints.yaml,0.1309
facebook_react-native__create-draft-release.yml,0.1369
nodejs_node__scorecard.yml,0.1325
facebook_react__runtime_fuzz_tests.yml,0.1312
Significant-Gravitas_AutoGPT__repo-pr-label.yml,0.1297
freeCodeCamp_freeCodeCamp__i18n-validate-prs.yml,0.1563
facebook_react-native__publish-bumped-packages.yml,0.134
electron_electron__windows-publish.yml,0.1425
IBM_sarama__cache-cleanup.yml,0.1279
nodejs_node__close-stale-pull-requests.yml,0.1334
NVIDIA_k8s-device-plugin__ci.yaml,0.1279
vercel_next.js__rspack-nextjs-build-integration-tests.yml,0.1356
d3_d3__test.yml,0.1297
freeCodeCamp_freeCodeCamp__github-no-i18n-via-prs.yml,0.1308
Significant-Gravitas_AutoGPT__classic-autogpt-docker-ci.yml,0.1333
huggingface_transformers__self-push-caller.yml,0.1325
flutter_flutter__lock.yaml,0.1247
d3_d3__deploy.yml,0.1395
twbs_bootstrap__bundlewatch.yml,0.1661
facebook_rocksdb__nightly-candidate.yml,0.1714
facebook_react-native__danger-pr.yml,0.1333
electron_electron__clean-src-cache.yml,0.1874
nodejs_node__build-tarball.yml,0.1467
n8n-io_n8n__ci-master.yml,0.1301
vercel_next.js__build_and_deploy.yml,0.1407
excalidraw_excalidraw__autorelease-preview.yml,0.1241
microsoft_TypeScript__insiders.yaml,0.1236
microsoft_PowerToys__dependency-review.yml,0.1239
airbnb_javascript__rebase.yml,0.1273
microsoft_TypeScript__create-cherry-pick-pr.yml,0.1416
facebook_react-native__bump-podfile-lock.yml,0.1464
flutter_flutter__tool-test-general.yml,0.1259
oracle_docker-images__build-and-push-dev-images.yml,0.1458
vercel_next.js__update_fonts_data.yml,0.1381
microsoft_TypeScript__new-release-branch.yaml,0.1315
langgenius_dify__stale.yml,0.1327
EbookFoundation_free-programming-books__issues-pinner.yml,0.1269
tensorflow_tensorflow__stale-issues.yml,0.1299
freeCodeCamp_freeCodeCamp__node.js-tests.yml,0.1269
yangshun_tech-interview-handbook__tsc.yml,0.1307
nodejs_node__test-internet.yml,0.1254
flutter_flutter__files-changed.yml,0.1274
nodejs_node__lint-release-proposal.yml,0.133
huggingface_transformers__trufflehog.yml,0.1244
vercel_next.js__upload-tests-manifest.yml,0.1298
microsoft_terminal__spelling2.yml,0.129
microsoft_vscode__basic.yml,0.1318
denoland_deno__cargo_publish.yml,0.1314
vercel_next.js__popular.yml,0.1306
nodejs_node__notify-on-push.yml,0.1278
huggingface_transformers__build_documentation.yml,0.127
freeCodeCamp_freeCodeCamp__docker-docr.yml,0.1305
tensorflow_tensorflow__osv-scanner-scheduled.yml,0.1216
nodejs_node__major-release.yml,0.1325
awslabs_amazon-ecr-credential-helper__review-dependencies.yml,0.1214
krahets_hello-algo__kotlin.yml,0.1546
nodejs_node__daily.yml,0.1238
google_jimfs__ci.yml,0.1316
microsoft_vscode__ci.yml,0.1302
electron_electron__pipeline-segment-electron-build.yml,0.1328
open-webui_open-webui__format-build-frontend.yaml,0.1235
facebook_react__runtime_releases_from_npm_manual.yml,0.1313
electron_electron__issue-labeled.yml,0.1219
microsoft_TypeScript__close-issues.yml,0.1234
axios_axios__pr-guard.yml,0.1379
huggingface_transformers__self-push-amd-mi250-caller.yml,0.1249
denoland_deno__npm_publish.yml,0.1228
axios_axios__depsreview.yaml,0.1354
f_awesome-chatgpt-prompts__csv_linter.yml,0.1329
facebook_react-native__cache-reaper.yml,0.1329
n8n-io_n8n__test-workflows-pr-comment.yml,0.1259
n8n-io_n8n__security-trivy-scan-callable.yml,0.1315
electron_electron__scorecards.yml,0.1309
facebook_react-native__check-nightly.yml,0.1265
tensorflow_tensorflow__arm-ci-extended-cpp.yml,0.1293
denoland_deno__node_compat_test.yml,0.136
EbookFoundation_free-programming-books__stale.yml,0.1261
facebook_react__runtime_prereleases_nightly.yml,0.1281
huggingface_transformers__upload_pr_documentation.yml,0.1222
vercel_next.js__rspack-update-tests-manifest.yml,0.1283
facebook_react-native__test-all.yml,0.1408
facebook_react__shared_cleanup_merged_branch_caches.yml,0.166
