file,execution_time_seconds
axios_axios__publish.yml,0.2616
vercel_next.js__trigger_release.yml,0.2631
oracle_opengrok__release.yml,0.2508
IBM_sarama__apidiff.yml,0.2543
huggingface_transformers__build-nightly-ci-docker-images.yml,0.2587
facebook_react-native__on-issue-labeled.yml,0.2662
vercel_next.js__graphite_ci_optimizer.yml,0.2607
nodejs_node__create-release-proposal.yml,0.2861
krahets_hello-algo__java.yml,0.2567
nodejs_node__test-macos.yml,0.2743
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.2781
NVIDIA_k8s-device-plugin__e2e.yaml,0.2575
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.2664
Chalarangelo_30-seconds-of-code__stale.yml,0.2642
krahets_hello-algo__go.yml,0.2616
facebook_react__runtime_build_and_test.yml,0.2569
electron_electron__issue-transferred.yml,0.27
microsoft_TypeScript__pr-modified-files.yml,0.2604
krahets_hello-algo__dart.yml,0.2529
langgenius_dify__db-migration-test.yml,0.2567
huggingface_transformers__check_failed_tests.yml,0.2751
langchain-ai_langchain__run_notebooks.yml,0.2486
IBM_sarama__fvt-main.yml,0.2554
vercel_next.js__test_examples.yml,0.2504
rust-lang_rust__post-merge.yml,0.265
nodejs_node__linters.yml,0.2603
NVIDIA_cutlass__blossom-ci.yml,0.2644
facebook_watchman__getdeps_linux.yml,0.2547
microsoft_TypeScript__twoslash-repros.yaml,0.2546
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.2593
oracle_opengrok__javadoc.yml,0.3521
facebook_folly__getdeps_windows.yml,0.2714
langgenius_dify__style.yml,0.2511
facebook_facebook-android-sdk__needs-attention.yml,0.2442
huggingface_transformers__doctest_job.yml,0.2409
microsoft_TypeScript__copilot-setup-steps.yml,0.2395
yangshun_tech-interview-handbook__lint.yml,0.2433
huggingface_transformers__benchmark.yml,0.2475
Significant-Gravitas_AutoGPT__repo-stats.yml,0.2447
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.2482
microsoft_terminal__addToProject.yml,0.243
google_blockly__browser_test.yml,0.2381
facebook_react__compiler_discord_notify.yml,0.3044
electron_electron__pipeline-electron-build-and-test.yml,0.2964
twbs_bootstrap__cspell.yml,0.2852
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.2742
microsoft_TypeScript__ci.yml,0.2574
krahets_hello-algo__rust.yml,0.2549
huggingface_transformers__doctests.yml,0.2531
denoland_deno__post_publish.yml,0.2548
electron_electron__pull-request-labeled.yml,0.2597
langchain-ai_langchain___compile_integration_test.yml,0.2494
alibaba_druid__ci.yaml,0.2503
vercel_next.js__integration_tests_reusable.yml,0.2486
yt-dlp_yt-dlp__core.yml,0.247
electron_electron__stable-prep-items.yml,0.2536
langchain-ai_langchain___test_pydantic.yml,0.2496
avelino_awesome-go__run-check.yaml,0.2516
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.2649
electron_electron__macos-publish.yml,0.2542
trekhleb_javascript-algorithms__CI.yml,0.2941
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.2922
n8n-io_n8n__test-workflows-nightly.yml,0.2792
alibaba_tengine__test-nginx-core.yml,0.3316
facebook_rocksdb__nightly.yml,0.2931
jwasham_coding-interview-university__links_checker.yml,0.2616
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.2585
n8n-io_n8n__notify-pr-status.yml,0.2634
TheAlgorithms_Python__ruff.yml,0.2434
facebook_react__shared_check_maintainer.yml,0.2441
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.2528
electron_electron__pipeline-segment-node-nan-test.yml,0.2805
twbs_bootstrap__codeql.yml,0.2517
nodejs_node__license-builder.yml,0.2432
