file,execution_time_seconds
krahets_hello-algo__java.yml,0.3476
nodejs_node__test-macos.yml,0.3519
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.323
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.311
Chalarangelo_30-seconds-of-code__stale.yml,0.312
krahets_hello-algo__go.yml,0.3735
facebook_react__runtime_build_and_test.yml,0.3407
electron_electron__issue-transferred.yml,0.3166
microsoft_TypeScript__pr-modified-files.yml,0.3106
krahets_hello-algo__dart.yml,0.3129
langgenius_dify__db-migration-test.yml,0.3347
huggingface_transformers__check_failed_tests.yml,0.316
langchain-ai_langchain__run_notebooks.yml,0.3275
IBM_sarama__fvt-main.yml,0.3138
vercel_next.js__test_examples.yml,0.3137
rust-lang_rust__post-merge.yml,0.3446
nodejs_node__linters.yml,0.3191
NVIDIA_cutlass__blossom-ci.yml,0.3561
facebook_watchman__getdeps_linux.yml,0.3211
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.3149
oracle_opengrok__javadoc.yml,0.3091
facebook_folly__getdeps_windows.yml,0.3253
langgenius_dify__style.yml,0.3172
facebook_facebook-android-sdk__needs-attention.yml,0.3093
huggingface_transformers__doctest_job.yml,0.356
microsoft_TypeScript__copilot-setup-steps.yml,0.3282
yangshun_tech-interview-handbook__lint.yml,0.329
huggingface_transformers__benchmark.yml,0.3159
Significant-Gravitas_AutoGPT__repo-stats.yml,0.346
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.3293
microsoft_terminal__addToProject.yml,0.3335
google_blockly__browser_test.yml,0.3516
facebook_react__compiler_discord_notify.yml,0.3057
electron_electron__pipeline-electron-build-and-test.yml,0.5127
twbs_bootstrap__cspell.yml,0.3352
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.3412
microsoft_TypeScript__ci.yml,0.3292
krahets_hello-algo__rust.yml,0.3562
huggingface_transformers__doctests.yml,0.3094
denoland_deno__post_publish.yml,0.3391
electron_electron__pull-request-labeled.yml,0.342
langchain-ai_langchain___compile_integration_test.yml,0.3339
vercel_next.js__integration_tests_reusable.yml,0.3207
yt-dlp_yt-dlp__core.yml,0.3162
electron_electron__stable-prep-items.yml,0.3355
langchain-ai_langchain___test_pydantic.yml,0.3405
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.3338
electron_electron__macos-publish.yml,0.3159
trekhleb_javascript-algorithms__CI.yml,0.3529
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.3332
n8n-io_n8n__test-workflows-nightly.yml,0.339
alibaba_tengine__test-nginx-core.yml,0.3574
facebook_rocksdb__nightly.yml,0.3276
jwasham_coding-interview-university__links_checker.yml,0.324
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.3206
n8n-io_n8n__notify-pr-status.yml,0.4212
TheAlgorithms_Python__ruff.yml,0.3141
facebook_react__shared_check_maintainer.yml,0.3247
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.3183
electron_electron__pipeline-segment-node-nan-test.yml,0.3043
twbs_bootstrap__codeql.yml,0.3119
nodejs_node__license-builder.yml,0.3291
nodejs_node__label-flaky-test-issue.yml,0.3439
vercel_next.js__test-turbopack-rust-bench-test.yml,0.3172
facebook_facebook-ios-sdk__stale.yml,0.3418
ossu_computer-science__delete-empty-issues.yml,0.3633
yt-dlp_yt-dlp__sanitize-comment.yml,0.3233
huggingface_transformers__self-nightly-caller.yml,0.3054
langchain-ai_langchain__people.yml,0.3068
langchain-ai_langchain___test_release.yml,0.3103
google_truth__ci.yml,0.3114
n8n-io_n8n__benchmark-destroy-nightly.yml,0.3303
langchain-ai_langchain___test.yml,1.3486
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.3469
n8n-io_n8n__e2e-tests.yml,0.315
excalidraw_excalidraw__locales-coverage.yml,0.3743
nodejs_node__close-stalled.yml,0.3118
facebook_react__runtime_prereleases.yml,0.3425
vuejs_vue__ci.yml,0.3214
krahets_hello-algo__swift.yml,0.3342
airbnb_javascript__require-allow-edits.yml,0.3196
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.3416
google_blockly__welcome_new_contributors.yml,0.348
nodejs_node__doc.yml,0.3305
excalidraw_excalidraw__publish-docker.yml,0.3187
flutter_flutter__labeler.yml,0.3192
Genymobile_scrcpy__release.yml,0.332
f_awesome-chatgpt-prompts__ai_bot.yml,0.3229
microsoft_vscode__monaco-editor.yml,0.3827
freeCodeCamp_freeCodeCamp__github-spam.yml,0.395
oracle_graal__micronaut.yml,0.3367
facebook_react-native__needs-attention.yml,0.3498
google_grr__publish-pypi.yml,0.3317
Chalarangelo_30-seconds-of-code__test.yml,0.3228
tensorflow_tensorflow__arm-ci-extended.yml,0.3125
rust-lang_rust__dependencies.yml,0.3465
Chalarangelo_30-seconds-of-code__label.yml,0.3142
facebook_react__runtime_discord_notify.yml,0.3207
twbs_bootstrap__calibreapp-image-actions.yml,0.332
google_grr__build.yml,0.313
huggingface_transformers__release-conda.yml,0.35
denoland_deno__wpt_epoch.yml,0.3662
airbnb_javascript__node.yml,0.3522
langchain-ai_langchain___lint.yml,0.3341
vercel_next.js__turbopack-nextjs-build-integration-tests.yml,0.342
oracle_truffleruby__ci.yml,0.3137
facebook_react-native__prebuild-ios-dependencies.yml,0.3445
n8n-io_n8n__chromatic.yml,0.3126
NVIDIA_cutlass__stale.yml,0.3289
yt-dlp_yt-dlp__issue-lockdown.yml,0.3535
n8n-io_n8n__test-workflows-callable.yml,0.305
nodejs_node__update-openssl.yml,0.3574
facebook_react-native__create-draft-release.yml,0.3056
nodejs_node__scorecard.yml,0.3202
facebook_react__runtime_fuzz_tests.yml,0.3133
Significant-Gravitas_AutoGPT__repo-pr-label.yml,0.3191
freeCodeCamp_freeCodeCamp__i18n-validate-prs.yml,0.344
facebook_react-native__publish-bumped-packages.yml,0.3584
electron_electron__windows-publish.yml,0.3345
IBM_sarama__cache-cleanup.yml,0.3766
nodejs_node__close-stale-pull-requests.yml,0.3105
vercel_next.js__rspack-nextjs-build-integration-tests.yml,0.3357
d3_d3__test.yml,0.3154
freeCodeCamp_freeCodeCamp__github-no-i18n-via-prs.yml,0.3651
Significant-Gravitas_AutoGPT__classic-autogpt-docker-ci.yml,0.3892
huggingface_transformers__self-push-caller.yml,0.3111
d3_d3__deploy.yml,0.3145
twbs_bootstrap__bundlewatch.yml,0.32
facebook_rocksdb__nightly-candidate.yml,0.3155
facebook_react-native__danger-pr.yml,0.3365
electron_electron__clean-src-cache.yml,0.3235
nodejs_node__build-tarball.yml,0.3262
n8n-io_n8n__ci-master.yml,0.3519
vercel_next.js__build_and_deploy.yml,0.3534
excalidraw_excalidraw__autorelease-preview.yml,0.3448
microsoft_PowerToys__dependency-review.yml,0.3661
airbnb_javascript__rebase.yml,0.3246
microsoft_TypeScript__create-cherry-pick-pr.yml,0.3671
facebook_react-native__bump-podfile-lock.yml,0.3555
flutter_flutter__tool-test-general.yml,0.3441
oracle_docker-images__build-and-push-dev-images.yml,0.3491
vercel_next.js__update_fonts_data.yml,0.3372
langgenius_dify__stale.yml,0.3381
EbookFoundation_free-programming-books__issues-pinner.yml,0.3191
tensorflow_tensorflow__stale-issues.yml,0.414
freeCodeCamp_freeCodeCamp__node.js-tests.yml,0.3332
yangshun_tech-interview-handbook__tsc.yml,0.3645
nodejs_node__test-internet.yml,0.3473
flutter_flutter__files-changed.yml,0.3412
nodejs_node__lint-release-proposal.yml,0.3085
huggingface_transformers__trufflehog.yml,0.3043
vercel_next.js__upload-tests-manifest.yml,0.3242
microsoft_terminal__spelling2.yml,0.3235
microsoft_vscode__basic.yml,0.3538
denoland_deno__cargo_publish.yml,0.3469
vercel_next.js__popular.yml,0.3321
nodejs_node__notify-on-push.yml,0.3248
huggingface_transformers__build_documentation.yml,0.3049
freeCodeCamp_freeCodeCamp__docker-docr.yml,0.3514
tensorflow_tensorflow__osv-scanner-scheduled.yml,0.3507
nodejs_node__major-release.yml,0.3194
awslabs_amazon-ecr-credential-helper__review-dependencies.yml,0.3282
krahets_hello-algo__kotlin.yml,0.3245
nodejs_node__daily.yml,0.3168
google_jimfs__ci.yml,0.3138
microsoft_vscode__ci.yml,0.3283
electron_electron__pipeline-segment-electron-build.yml,0.3224
facebook_react__runtime_releases_from_npm_manual.yml,0.3091
electron_electron__issue-labeled.yml,0.3096
microsoft_TypeScript__close-issues.yml,0.3316
axios_axios__pr-guard.yml,0.3272
huggingface_transformers__self-push-amd-mi250-caller.yml,0.3459
denoland_deno__npm_publish.yml,0.31
f_awesome-chatgpt-prompts__csv_linter.yml,1.3435
facebook_react-native__cache-reaper.yml,0.3205
n8n-io_n8n__test-workflows-pr-comment.yml,0.3187
n8n-io_n8n__security-trivy-scan-callable.yml,0.3698
electron_electron__scorecards.yml,0.3017
facebook_react-native__check-nightly.yml,0.3534
tensorflow_tensorflow__arm-ci-extended-cpp.yml,0.3124
denoland_deno__node_compat_test.yml,0.3209
EbookFoundation_free-programming-books__stale.yml,0.3197
facebook_react__runtime_prereleases_nightly.yml,0.3158
huggingface_transformers__upload_pr_documentation.yml,0.3089
vercel_next.js__rspack-update-tests-manifest.yml,0.3093
facebook_react-native__test-all.yml,0.3141
facebook_react__shared_cleanup_merged_branch_caches.yml,0.3329
n8n-io_n8n__test-workflows-pr-approved.yml,0.3087
huggingface_transformers__assign-reviewers.yml,0.3662
tensorflow_tensorflow__release-branch-cherrypick.yml,0.4145
nodejs_node__coverage-linux-without-intl.yml,0.3207
flutter_flutter__coverage.yml,0.3468
google_blockly__develop_freeze.yml,0.333
goldbergyoni_nodebestpractices__update-date-in-last-update-badge.yml,0.3156
oracle_graal__cdt-inspect.yml,0.3201
oracle_docker-images__build-and-push-oci-cli-image.yml,0.4006
vercel_next.js__force_merge_canary_release_pr.yml,0.3356
langchain-ai_langchain___release.yml,0.3539
electron_electron__archaeologist-dig.yml,0.3349
Significant-Gravitas_AutoGPT__classic-benchmark-ci.yml,0.3307
facebook_facebook-android-sdk__stale.yml,0.3102
facebook_react-native__nightly.yml,0.3207
krahets_hello-algo__javascript.yml,0.3172
krahets_hello-algo__cpp.yml,0.3313
microsoft_PowerToys__spelling2.yml,0.3707
nodejs_node__coverage-windows.yml,0.3706
vercel_next.js__turbopack-update-tests-manifest.yml,0.3192
oracle_opengrok__build.yml,0.3341
n8n-io_n8n__linting-reusable.yml,0.3213
microsoft_TypeScript__sync-wiki.yml,0.362
excalidraw_excalidraw__build-docker.yml,0.3529
n8n-io_n8n__docker-images-benchmark.yml,0.3389
