file,execution_time_seconds
axios_axios__publish.yml,0.0063
vercel_next.js__trigger_release.yml,0.0069
oracle_opengrok__release.yml,0.0083
IBM_sarama__apidiff.yml,0.0088
huggingface_transformers__build-nightly-ci-docker-images.yml,0.0118
facebook_react-native__on-issue-labeled.yml,0.009
vercel_next.js__graphite_ci_optimizer.yml,0.0108
nodejs_node__create-release-proposal.yml,0.0094
krahets_hello-algo__java.yml,0.0144
nodejs_node__test-macos.yml,0.0099
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.0083
NVIDIA_k8s-device-plugin__e2e.yaml,0.0089
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.0084
Chalarangelo_30-seconds-of-code__stale.yml,0.0102
krahets_hello-algo__go.yml,0.0079
facebook_react__runtime_build_and_test.yml,0.0112
electron_electron__issue-transferred.yml,0.0057
microsoft_TypeScript__pr-modified-files.yml,0.0048
krahets_hello-algo__dart.yml,0.0065
langgenius_dify__db-migration-test.yml,0.0056
huggingface_transformers__check_failed_tests.yml,0.0062
langchain-ai_langchain__run_notebooks.yml,0.0066
IBM_sarama__fvt-main.yml,0.0048
vercel_next.js__test_examples.yml,0.0054
rust-lang_rust__post-merge.yml,0.0059
nodejs_node__linters.yml,0.0052
NVIDIA_cutlass__blossom-ci.yml,0.0062
facebook_watchman__getdeps_linux.yml,0.0061
microsoft_TypeScript__twoslash-repros.yaml,0.0065
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.0062
oracle_opengrok__javadoc.yml,0.0056
facebook_folly__getdeps_windows.yml,0.0061
langgenius_dify__style.yml,0.008
facebook_facebook-android-sdk__needs-attention.yml,0.0057
huggingface_transformers__doctest_job.yml,0.0068
microsoft_TypeScript__copilot-setup-steps.yml,0.0059
yangshun_tech-interview-handbook__lint.yml,0.0052
huggingface_transformers__benchmark.yml,0.0061
Significant-Gravitas_AutoGPT__repo-stats.yml,0.0061
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.0051
microsoft_terminal__addToProject.yml,0.006
google_blockly__browser_test.yml,0.0057
facebook_react__compiler_discord_notify.yml,0.0048
electron_electron__pipeline-electron-build-and-test.yml,0.0063
twbs_bootstrap__cspell.yml,0.005
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.0051
