tool,line,column,message
frizbee,13,,
frizbee,14,,
pinny,12,,
pinny,13,,
scharf,13,15,Unpinned GitHub Action: uses `actions/checkout@v4`
scharf,14,15,Unpinned GitHub Action: uses `actions/github-script@v6`
