tool,line,column,message
frizbee,13,,
frizbee,25,,
pinny,13,,
pinny,25,,
scharf,13,13,Unpinned GitHub Action: uses `actions/checkout@v4.1.0`
scharf,25,13,Unpinned GitHub Action: uses `actions/checkout@v4.1.0`
