tool,line,column,message
scharf,10,16,Unpinned GitHub Action: uses `actions/checkout@v4`
scharf,14,16,Unpinned GitHub Action: uses `actions/setup-node@v4`
scharf,19,30,Unpinned GitHub Action: uses `vscode/telemetry-extractor@1.14.0`
pinny and frizbee skipped this !!
1 - a lot of choices
2 - doesn't exist
3 - doesn't exist
