tool,capability,line,column,message,verdict
scharf,pinning-check,487,15,Unpinned GitHub Action: uses `actions/download-artifact@v4`,TP
scharf,pinning-check,493,15,Unpinned GitHub Action: uses `actions/download-artifact@v4`,TP
scharf,pinning-check,499,15,Unpinned GitHub Action: uses `actions/download-artifact@v4`,TP
scharf,pinning-check,511,15,Unpinned GitHub Action: uses `actions/upload-artifact@v4`,TP
zizmor,artifact-Integrity-check,19,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,36,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,57,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,72,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,98,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,129,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,160,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,200,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,244,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,281,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,317,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,353,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,389,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,425,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,465,9,credential persistence through GitHub Actions artifacts,FP
zizmor,permissions-check,1,1,overly broad permissions,FP
zizmor,permissions-check,14,3,overly broad permissions,FP
zizmor,permissions-check,31,3,overly broad permissions,FP
zizmor,permissions-check,54,3,overly broad permissions,FP
zizmor,permissions-check,69,3,overly broad permissions,FP
zizmor,permissions-check,86,3,overly broad permissions,FP
zizmor,permissions-check,126,3,overly broad permissions,FP
zizmor,permissions-check,157,3,overly broad permissions,FP
zizmor,permissions-check,188,3,overly broad permissions,FP
zizmor,permissions-check,232,3,overly broad permissions,FP
zizmor,permissions-check,275,3,overly broad permissions,FP
zizmor,permissions-check,311,3,overly broad permissions,FP
zizmor,permissions-check,347,3,overly broad permissions,FP
zizmor,permissions-check,383,3,overly broad permissions,FP
zizmor,permissions-check,419,3,overly broad permissions,FP
zizmor,permissions-check,455,3,overly broad permissions,FP
